            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2458227.500000000, A.D. 2018-Apr-19 00:00:00.0000, -8.803857928962812E-01, -4.395644638248561E-01, -1.907588639656618E-01,  7.407280833193527E-03, -1.370878995852744E-02, -5.917049218142669E-03,
2458228.500000000, A.D. 2018-Apr-20 00:00:00.0000, -8.728725002109760E-01, -4.532734036059836E-01, -1.966699479635539E-01,  7.624617396735767E-03, -1.371000322277736E-02, -5.905819628454242E-03,
2458229.500000000, A.D. 2018-Apr-21 00:00:00.0000, -8.651255723897827E-01, -4.669848206666204E-01, -2.025713929600504E-01,  7.874816680595025E-03, -1.371225530929644E-02, -5.897247924102364E-03,
2458230.500000000, A.D. 2018-Apr-22 00:00:00.0000, -8.571118201084863E-01, -4.806952698729140E-01, -2.084642470724779E-01,  8.158065631336650E-03, -1.370659133028596E-02, -5.888085661914119E-03,
2458231.500000000, A.D. 2018-Apr-23 00:00:00.0000, -8.487992307855809E-01, -4.943925287146341E-01, -2.143462762811273E-01,  8.471868393373678E-03, -1.368454372567750E-02, -5.875068483584753E-03,
2458232.500000000, A.D. 2018-Apr-24 00:00:00.0000, -8.401594773721478E-01, -5.080564482916353E-01, -2.202120937048426E-01,  8.811430053619359E-03, -1.363882522683481E-02, -5.855196544858096E-03,
2458233.500000000, A.D. 2018-Apr-25 00:00:00.0000, -8.311699570467446E-01, -5.216603922993921E-01, -2.260535372736983E-01,  9.170193854385422E-03, -1.356381195324555E-02, -5.825949534216978E-03,
2458234.500000000, A.D. 2018-Apr-26 00:00:00.0000, -8.218152553313489E-01, -5.351730612327785E-01, -2.318602294829504E-01,  9.540442776373911E-03, -1.345583585314574E-02, -5.785436935184873E-03,
2458235.500000000, A.D. 2018-Apr-27 00:00:00.0000, -8.120879951549640E-01, -5.485605251708847E-01, -2.376202578616878E-01,  9.913923749938410E-03, -1.331331231455566E-02, -5.732489926339934E-03,
2458236.500000000, A.D. 2018-Apr-28 00:00:00.0000, -8.019890601453989E-01, -5.617883050038136E-01, -2.433209186037958E-01,  1.028247050251274E-02, -1.313670867555923E-02, -5.666695184362905E-03,
2458237.500000000, A.D. 2018-Apr-29 00:00:00.0000, -7.915272108101976E-01, -5.748233396822507E-01, -2.489494627450946E-01,  1.063858628450068E-02, -1.292834698874085E-02, -5.588365249286589E-03,
2458238.500000000, A.D. 2018-Apr-30 00:00:00.0000, -7.807181634626591E-01, -5.876356754712263E-01, -2.544937798860378E-01,  1.097592394593991E-02, -1.269204933576872E-02, -5.498443882331085E-03,
2458239.500000000, A.D. 2018-May-01 00:00:00.0000, -7.695832688342816E-01, -6.001997388151104E-01, -2.599429589198808E-01,  1.128959679890894E-02, -1.243267057547643E-02, -5.398357980735106E-03,
